RESPOND_ID,EXAMIN_BEGIN_DE,UTILIIZA_MOBILE_APLCTN_MUSIC_PBLPRFR_K_IDOL_AT,UTILIIZA_MOBILE_APLCTN_GAME_AT,UTILIIZA_MOBILE_APLCTN_PHT_AT,UTILIIZA_MOBILE_APLCTN_BRDCST_VIDO_AT,UTILIIZA_MOBILE_APLCTN_CMC_WEBTOON_AT,UTILIIZA_MOBILE_APLCTN_SEARCH_PORTAL_AT,UTILIIZA_MOBILE_APLCTN_FNC_AT,UTILIIZA_MOBILE_APLCTN_ADVANTK_AT,UTILIIZA_MOBILE_APLCTN_TOUR_AT,UTILIIZA_MOBILE_APLCTN_FOOD_ORDER_AT,UTILIIZA_MOBILE_APLCTN_GBRSTRNT_RECOMEND_RESVE_AT,UTILIIZA_MOBILE_APLCTN_SHOPNG_AT,UTILIIZA_MOBILE_APLCTN_WRKOT_AT,UTILIIZA_MOBILE_APLCTN_EWALLET_AT,UTILIIZA_MOBILE_APLCTN_CLEAN_DCCS_AT,UTILIIZA_MOBILE_APLCTN_ESTT_AT,UTILIIZA_MOBILE_APLCTN_HSPTL_PHARM_MEDIC_SEARCH_AT,UTILIIZA_MOBILE_APLCTN_USEGT_AT,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,HSHLD_INCOME_DGREE_NM,OCCP_NM,ANSWRR_OC_AREA_NM
5436,20231101,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,M,40대,기혼,500만원,사무직,서울
6231,20231101,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,M,60대 이상,기혼,300만원,기타,대구
7259,20231101,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,M,40대,기혼,500만원,사무직,부산
7331,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,60대 이상,기혼,"1,000만원 이상",전문직,서울
7417,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,600만원,경영/관리직,충남
8973,20231101,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,Y,M,50대,기혼,"1,000만원 이상",전문직,충남
9331,20231101,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,M,50대,기혼,모름,기술직,서울
9831,20231101,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,F,20대,미혼 / 비혼,400만원,기술직,전남
9837,20231101,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,M,40대,미혼 / 비혼,900만원,경영/관리직,서울
10074,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,600만원,사무직,충남
10979,20231101,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,400만원,사무직,부산
11127,20231101,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,M,60대 이상,기혼,900만원,무직,인천
11233,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,900만원,기술직,서울
11343,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,600만원,사무직,경기
14989,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,700만원,사무직,부산
15974,20231101,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,F,50대,기혼,500만원,기술직,서울
16074,20231101,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,F,50대,기혼,700만원,전업주부,경남
16467,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,20대,미혼 / 비혼,600만원,사무직,경기
17185,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,300만원,기술직,대전
17849,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,기혼,500만원,전업주부,부산
18453,20231101,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,M,50대,기혼,700만원,사무직,전북
18498,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,200만원,사무직,울산
18992,20231101,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,M,40대,기혼,600만원,기술직,경기
20237,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,미혼 / 비혼,500만원,자영업,전남
20765,20231101,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,400만원,사무직,경남
25304,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,800만원,사무직,경기
25321,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,800만원,경영/관리직,서울
27026,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,400만원,사무직,경북
27635,20231101,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,M,20대,미혼 / 비혼,500만원,사무직,경기
27812,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,800만원,사무직,서울
31558,20231101,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,500만원,사무직,경기
33507,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,800만원,사무직,인천
34355,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,미혼 / 비혼,200만원,사무직,대구
35085,20231101,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,F,30대,기혼,600만원,전업주부,경기
35547,20231101,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,M,50대,기혼,600만원,판매/서비스직,경기
35640,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,"1,000만원 이상",전문직,대전
36865,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,300만원,사무직,서울
38318,20231101,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,F,40대,기혼,500만원,전업주부,서울
42862,20231101,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,M,30대,기혼,400만원,전문직,경기
42912,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,400만원,기능/숙련공,경남
43232,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,300만원,전문직,서울
43501,20231101,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,M,30대,기혼,300만원,사무직,인천
49707,20231101,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,M,40대,기혼,800만원,경영/관리직,경기
50361,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,기혼,400만원,기술직,대구
50444,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,200만원,판매/서비스직,인천
476,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,60대 이상,기혼,"1,000만원",기술직,대전
2692,20231101,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,M,40대,기혼,500만원,사무직,충남
3976,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,"1,000만원 이상",사무직,경기
5408,20231101,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,M,50대,기혼,"1,000만원",일반작업직,서울
7765,20231101,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,M,40대,기혼,700만원,사무직,인천
8011,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,400만원,기능/숙련공,충남
9618,20231101,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,M,30대,미혼 / 비혼,300만원,사무직,충북
22123,20231101,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,60대 이상,기혼,400만원,자영업,서울
22613,20231101,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y,M,40대,기혼,700만원,사무직,서울
23812,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,700만원,전업주부,경기
29002,20231101,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,40대,기혼,500만원,사무직,서울
30818,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,10대,미혼 / 비혼,300만원,대학생,대구
32736,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,800만원,경영/관리직,서울
33018,20231101,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,M,50대,미혼 / 비혼,300만원,판매/서비스직,경남
34053,20231101,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,M,50대,기혼,500만원,판매/서비스직,경기
37628,20231101,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,M,20대,"기타(이혼, 사별 등)",300만원,자영업,경북
44185,20231101,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,F,40대,기혼,500만원,전업주부,서울
47992,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,기혼,"1,000만원",사무직,서울
49085,20231101,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,F,10대,미혼 / 비혼,300만원,대학생,전북
231,20231101,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,F,40대,기혼,600만원,사무직,전북
825,20231101,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,F,30대,미혼 / 비혼,800만원,재수/입시/유학 준비,서울
1097,20231101,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,M,30대,기혼,700만원,사무직,서울
1736,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,400만원,사무직,경기
2326,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,300만원,사무직,서울
2442,20231101,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,M,40대,미혼 / 비혼,400만원,사무직,서울
2802,20231101,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,M,50대,기혼,600만원,사무직,경기
3495,20231101,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,M,60대 이상,기혼,200만원,무직,경기
3621,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,기혼,500만원,사무직,경기
4033,20231101,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y,M,40대,기혼,400만원,사무직,경기
4762,20231101,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,M,50대,기혼,700만원,전문직,경기
4800,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,300만원,기술직,부산
6398,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,60대 이상,기혼,500만원,전업주부,서울
6452,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,700만원,기술직,서울
6681,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,미혼 / 비혼,100만원 미만,무직,경남
7553,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,500만원,사무직,부산
7624,20231101,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,M,40대,기혼,400만원,사무직,경기
8326,20231101,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,F,40대,"기타(이혼, 사별 등)",300만원,사무직,경기
